Deutschland;männlich;weiblich
      Landsberg am Lech, Landkreis;61199;61833
      Miesbach, Landkreis;49603;51743
      Mühldorf a.Inn, Landkreis;60544;59334
      München, Landkreis;176060;179830
      Neuburg-Schrobenhausen, Landkreis;50240;49717
      Pfaffenhofen a.d.Ilm, Landkreis;67028;65054
      Rosenheim, Landkreis;131878;135067
      Starnberg, Landkreis;66902;71883
      Traunstein, Landkreis;89067;91712
      Weilheim-Schongau, Landkreis;68259;69949
    Niederbayern, Regierungsbezirk;637936;636019
      Landshut, kreisfreie Stadt;36833;38624
      Passau, kreisfreie Stadt;26167;27740
      Straubing, kreisfreie Stadt;24797;24367
      Deggendorf, Landkreis;61353;60768
      Freyung-Grafenau, Landkreis;39459;39827
      Kelheim, Landkreis;63520;62181
      Landshut, Landkreis;83050;81723
      Passau, Landkreis;97778;99185
      Regen, Landkreis;38968;39067
      Rottal-Inn, Landkreis;62503;61933
      Straubing-Bogen, Landkreis;52035;51771
      Dingolfing-Landau, Landkreis;51473;48833
    Oberpfalz, Regierungsbezirk;564751;568990
      Amberg, kreisfreie Stadt;20920;21614
      Regensburg, kreisfreie Stadt;76690;80753
      Weiden i.d.OPf., kreisfreie Stadt;20833;22219
      Amberg-Sulzbach, Landkreis;52328;52108
      Cham, Landkreis;65441;64752
      Neumarkt i.d.OPf., Landkreis;69843;68243
      Neustadt a.d.Waldnaab, Landkreis;47697;48257
      Regensburg, Landkreis;99038;99122
      Schwandorf, Landkreis;76171;75540
      Tirschenreuth, Landkreis;35790;36382
    Oberfranken, Regierungsbezirk;529160;544623
      Bamberg, kreisfreie Stadt;39117;40818
      Bayreuth, kreisfreie Stadt;36399;38107
      Coburg, kreisfreie Stadt;20328;21514
      Hof, kreisfreie Stadt;22663;23993
      Bamberg, Landkreis;74606;74516
      Bayreuth, Landkreis;51923;52779
      Coburg, Landkreis;43107;43996
      Forchheim, Landkreis;58401;59547
      Hof, Landkreis;46307;48282
      Kronach, Landkreis;32798;33595
      Kulmbach, Landkreis;35199;36454
      Lichtenfels, Landkreis;33189;34139
      Wunsiedel i.Fichtelgebirge, Landkreis;35123;36883
    Mittelfranken, Regierungsbezirk;889544;916247
      Ansbach, kreisfreie Stadt;20194;22027
      Erlangen, kreisfreie Stadt;57940;58622
      Fürth, kreisfreie Stadt;64348;67085
      Nürnberg, kreisfreie Stadt;255250;267776
      Schwabach, kreisfreie Stadt;20110;21117
      Ansbach, Landkreis;94550;94073
      Erlangen-Höchstadt, Landkreis;69977;71017
      Fürth, Landkreis;58382;61541
      Nürnberger Land, Landkreis;84864;87801
      Neustadt a.d.Aisch-Bad Windsheim, Landkreis;51799;51504
      Roth, Landkreis;63723;64971
      Weißenburg-Gunzenhausen, Landkreis;48407;48713
    Unterfranken, Regierungsbezirk;660476;673900
      Aschaffenburg, kreisfreie Stadt;35160;37284
      Schweinfurt, kreisfreie Stadt;27041;27634
      Würzburg, kreisfreie Stadt;61008;66802
      Aschaffenburg, Landkreis;87610;89348
      Bad Kissingen, Landkreis;51477;53090
      Rhön-Grabfeld, Landkreis;39954;40387
      Haßberge, Landkreis;42626;42358
      Kitzingen, Landkreis;46806;46441
      Miltenberg, Landkreis;64503;65332
      Main-Spessart, Landkreis;63281;63851
      Schweinfurt, Landkreis;59107;57937
      Würzburg, Landkreis;81903;83436
    Schwaben, Regierungsbezirk;967905;978073
      Augsburg, kreisfreie Stadt;148355;152678
      Kaufbeuren, kreisfreie Stadt;22583;23209
      Kempten (Allgäu), kreisfreie Stadt;34669;35387
      Memmingen, kreisfreie Stadt;22647;23210
      Aichach-Friedberg, Landkreis;68380;68954
      Augsburg, Landkreis;129390;131952
      Dillingen a.d.Donau, Landkreis;49626;49483
      Günzburg, Landkreis;65595;64517
      Neu-Ulm, Landkreis;89639;90786
      Lindau (Bodensee), Landkreis;41121;42272
      Ostallgäu, Landkreis;72362;73016
      Unterallgäu, Landkreis;75833;74235
      Donau-Ries, Landkreis;69586;67551
      Oberallgäu, Landkreis;78119;80823
Saarland;487101;505565
      Saarbrücken, Regionalverband;162630;168218
      Saarbrücken, Landeshauptstadt;90445;91514
      Merzig-Wadern, Landkreis;51552;52873
      Neunkirchen, Landkreis;65064;67219
      Saarlouis, Landkreis;95910;99839
      Saarpfalz-Kreis;69192;73227
      St. Wendel, Landkreis;42753;44189
Berlin;1843196;1912055
Brandenburg;1265151;1307984
      Brandenburg an der Havel, kreisfreie Stadt;36106;37503
      Cottbus, kreisfreie Stadt;48535;50980
      Frankfurt (Oder), kreisfreie Stadt;28223;30007
      Potsdam, kreisfreie Stadt;89442;96308
      Barnim, Landkreis;94508;97341
      Dahme-Spreewald, Landkreis;88512;90455
      Elbe-Elster, Landkreis;50011;50891
      Havelland, Landkreis;83473;85861
      Märkisch-Oderland, Landkreis;99079;101213
      Oberhavel, Landkreis;107236;111315
      Oberspreewald-Lausitz, Landkreis;53007;55256
      Oder-Spree, Landkreis;89338;93063
      Ostprignitz-Ruppin, Landkreis;49583;50288
      Potsdam-Mittelmark, Landkreis;109781;112789
      Prignitz, Landkreis;37625;38420
      Spree-Neiße, Landkreis;55072;57421
      Teltow-Fläming, Landkreis;88122;88526
      Uckermark, Landkreis;57498;60347
Mecklenburg-Vorpommern;799695;828683
      Rostock, kreisfreie Stadt;102800;107120
      Schwerin, kreisfreie Stadt;47203;51393
      Mecklenburgische Seenplatte, Landkreis;127218;132350
      Landkreis Rostock;109406;111401
      Vorpommern-Rügen, Landkreis;111156;116527
      Nordwestmecklenburg, Landkreis;79473;80815
      Vorpommern-Greifswald, Landkreis;115725;121630
      Ludwigslust-Parchim, Landkreis;106714;107447
Sachsen;2010537;2075615
    Chemnitz, Statistische Region;693193;718363
      Chemnitz, kreisfreie Stadt;122678;125885
      Erzgebirgskreis;160991;167859
      Mittelsachsen, Landkreis;149223;151416
      Vogtlandkreis;108488;114178
      Zwickau, Landkreis;151813;159025
    Dresden, Statistische Region;788007;810243
      Dresden, kreisfreie Stadt;279338;283973
      Bautzen, Landkreis;146982;150729
      Görlitz, Landkreis;122032;127649
      Meißen, Landkreis;118391;122952
      Sächsische Schweiz-Osterzgebirge, Landkreis;121264;124940
    Leipzig, Statistische Region;529337;547009
      Leipzig, kreisfreie Stadt;302741;313352
      Leipzig, Landkreis;127570;132859
      Nordsachsen, Landkreis;99026;100798
Sachsen-Anhalt;1073711;1112932
      Dessau-Roßlau, kreisfreie Stadt;38509;41146
      Halle (Saale), kreisfreie Stadt;116835;125248
      Magdeburg, kreisfreie Stadt, Landeshauptstadt;117729;121635
      Altmarkkreis Salzwedel;41042;41415
      Anhalt-Bitterfeld, Landkreis;76971;80264
      Börde, Landkreis;85383;86010
      Burgenlandkreis;87200;90012
      Harz, Landkreis;103454;106927
      Jerichower Land, Landkreis;44854;45402
      Mansfeld-Südharz, Landkreis;64916;67118
      Saalekreis;90866;93108
      Salzlandkreis;90887;95533
