"maennlich","weiblich","region"
24983,22627,"      Landau in der Pfalz, kreisfreie Stadt"
86726,87539,"      Ludwigshafen am Rhein, kreisfreie Stadt"
113194,107358,"      Mainz, kreisfreie Stadt"
27675,26306,"      Neustadt an der Weinstraße, kreisfreie Stadt"
20761,19921,"      Pirmasens, kreisfreie Stadt"
26238,25130,"      Speyer, kreisfreie Stadt"
42689,41957,"      Worms, kreisfreie Stadt"
17459,17075,"      Zweibrücken, kreisfreie Stadt"
66839,65697,"      Alzey-Worms, Landkreis"
68830,65716,"      Bad Dürkheim, Landkreis"
38524,37684,"      Donnersbergkreis"
65803,64990,"      Germersheim, Landkreis"
55103,53113,"      Kaiserslautern, Landkreis"
35768,35694,"      Kusel, Landkreis"
57252,55379,"      Südliche Weinstraße, Landkreis"
79340,76581,"      Rhein-Pfalz-Kreis"
109203,105745,"      Mainz-Bingen, Landkreis"
48155,46744,"      Südwestpfalz, Landkreis"
5684833,5595424,"Baden-Wuerttemberg"
2111894,2093955,"    Stuttgart, Regierungsbezirk"
317231,315634,"      Stuttgart, Stadtkreis"
200766,197762,"      Böblingen, Landkreis"
271046,269180,"      Esslingen, Landkreis"
131718,130139,"      Göppingen, Landkreis"
278223,272828,"      Ludwigsburg, Landkreis"
219001,213396,"      Rems-Murr-Kreis, Landkreis"
63724,64610,"      Heilbronn, Stadtkreis"
176189,177094,"      Heilbronn, Landkreis"
57149,57914,"      Hohenlohekreis, Landkreis"
101062,101772,"      Schwäbisch Hall, Landkreis"
67478,67267,"      Main-Tauber-Kreis, Landkreis"
67743,67292,"      Heidenheim, Landkreis"
160564,159067,"      Ostalbkreis, Landkreis"
1435104,1413296,"    Karlsruhe, Regierungsbezirk"
29785,27240,"      Baden-Baden, Stadtkreis"
151154,157553,"      Karlsruhe, Stadtkreis"
228469,226144,"      Karlsruhe, Landkreis"
118298,116683,"      Rastatt, Landkreis"
84712,77561,"      Heidelberg, Stadtkreis"
158424,157130,"      Mannheim, Stadtkreis"
72544,72949,"      Neckar-Odenwald-Kreis, Landkreis"
282821,272531,"      Rhein-Neckar-Kreis, Landkreis"
64923,62926,"      Pforzheim, Stadtkreis"
81153,81700,"      Calw, Landkreis"
102218,100318,"      Enzkreis, Landkreis"
60603,60561,"      Freudenstadt, Landkreis"
1178975,1143714,"    Freiburg, Regierungsbezirk"
123758,112382,"      Freiburg im Breisgau, Stadtkreis"
137051,132897,"      Breisgau-Hochschwarzwald, Landkreis"
86501,84495,"      Emmendingen, Landkreis"
221544,220341,"      Ortenaukreis, Landkreis"
71258,71335,"      Rottweil, Landkreis"
109747,107434,"      Schwarzwald-Baar-Kreis, Landkreis"
71961,72930,"      Tuttlingen, Landkreis"
150629,141939,"      Konstanz, Landkreis"
118807,114220,"      Lörrach, Landkreis"
87719,85741,"      Waldshut, Landkreis"
958860,944459,"    Tübingen, Regierungsbezirk"
147321,144375,"      Reutlingen, Landkreis"
119781,113022,"      Tübingen, Landkreis"
97523,95712,"      Zollernalbkreis, Landkreis"
65125,63803,"      Ulm, Stadtkreis"
100487,101989,"      Alb-Donau-Kreis, Landkreis"
102486,104027,"      Biberach, Landkreis"
113361,109351,"      Bodenseekreis, Landkreis"
146112,144799,"      Ravensburg, Landkreis"
66664,67381,"      Sigmaringen, Landkreis"
6749190,6620203,"Bayern"
2431338,2370431,"    Oberbayern, Regierungsbezirk"
69721,71308,"      Ingolstadt, kreisfreie Stadt"
775685,736806,"      München, kreisfreie Stadt"
32481,31922,"      Rosenheim, kreisfreie Stadt"
57560,56238,"      Altötting, Landkreis"
54817,52850,"      Berchtesgadener Land, Landkreis"
65753,63758,"      Bad Tölz-Wolfratshausen, Landkreis"
78706,78276,"      Dachau, Landkreis"
73661,73169,"      Ebersberg, Landkreis"
66957,68634,"      Eichstätt, Landkreis"
70563,71117,"      Erding, Landkreis"
90402,94031,"      Freising, Landkreis"
112995,108617,"      Fürstenfeldbruck, Landkreis"
45915,42925,"      Garmisch-Partenkirchen, Landkreis"
61833,61199,"      Landsberg am Lech, Landkreis"
51743,49603,"      Miesbach, Landkreis"
59334,60544,"      Mühldorf a.Inn, Landkreis"
179830,176060,"      München, Landkreis"
49717,50240,"      Neuburg-Schrobenhausen, Landkreis"
65054,67028,"      Pfaffenhofen a.d.Ilm, Landkreis"
135067,131878,"      Rosenheim, Landkreis"
71883,66902,"      Starnberg, Landkreis"
91712,89067,"      Traunstein, Landkreis"
69949,68259,"      Weilheim-Schongau, Landkreis"
636019,637936,"    Niederbayern, Regierungsbezirk"
38624,36833,"      Landshut, kreisfreie Stadt"
27740,26167,"      Passau, kreisfreie Stadt"
24367,24797,"      Straubing, kreisfreie Stadt"
60768,61353,"      Deggendorf, Landkreis"
39827,39459,"      Freyung-Grafenau, Landkreis"
62181,63520,"      Kelheim, Landkreis"
81723,83050,"      Landshut, Landkreis"
99185,97778,"      Passau, Landkreis"
39067,38968,"      Regen, Landkreis"
61933,62503,"      Rottal-Inn, Landkreis"
51771,52035,"      Straubing-Bogen, Landkreis"
48833,51473,"      Dingolfing-Landau, Landkreis"
568990,564751,"    Oberpfalz, Regierungsbezirk"
21614,20920,"      Amberg, kreisfreie Stadt"
80753,76690,"      Regensburg, kreisfreie Stadt"
22219,20833,"      Weiden i.d.OPf., kreisfreie Stadt"
52108,52328,"      Amberg-Sulzbach, Landkreis"
64752,65441,"      Cham, Landkreis"
68243,69843,"      Neumarkt i.d.OPf., Landkreis"
48257,47697,"      Neustadt a.d.Waldnaab, Landkreis"
99122,99038,"      Regensburg, Landkreis"
75540,76171,"      Schwandorf, Landkreis"
36382,35790,"      Tirschenreuth, Landkreis"
544623,529160,"    Oberfranken, Regierungsbezirk"
40818,39117,"      Bamberg, kreisfreie Stadt"
38107,36399,"      Bayreuth, kreisfreie Stadt"
21514,20328,"      Coburg, kreisfreie Stadt"
23993,22663,"      Hof, kreisfreie Stadt"
